[2026-01-21 19:12:34.989] 3.648V | 582.3mA | 15.27/120mAh | 15.27mAh_total | Status: CHARGING
[2026-01-21 19:12:35.991] 3.648V | 582.7mA | 15.43/120mAh | 15.43mAh_total | Status: CHARGING
[2026-01-21 19:12:36.995] 3.656V | 583.1mA | 15.59/120mAh | 15.59mAh_total | Status: CHARGING
[2026-01-21 19:12:37.991] 3.652V | 582.5mA | 15.75/120mAh | 15.75mAh_total | Status: CHARGING
[2026-01-21 19:12:39.002] 3.652V | 582.7mA | 15.91/120mAh | 15.91mAh_total | Status: CHARGING
[2026-01-21 19:12:40.006] 3.652V | 582.6mA | 16.08/120mAh | 16.08mAh_total | Status: CHARGING
[2026-01-21 19:12:40.996] 3.652V | 582.5mA | 16.24/120mAh | 16.24mAh_total | Status: CHARGING
[2026-01-21 19:12:42.010] 3.652V | 582.2mA | 16.40/120mAh | 16.40mAh_total | Status: CHARGING
[2026-01-21 19:12:43.010] 3.652V | 582.5mA | 16.56/120mAh | 16.56mAh_total | Status: CHARGING
[2026-01-21 19:12:44.007] 3.656V | 582.6mA | 16.72/120mAh | 16.72mAh_total | Status: CHARGING
[2026-01-21 19:12:45.010] 3.652V | 581.7mA | 16.89/120mAh | 16.89mAh_total | Status: CHARGING
[2026-01-21 19:12:46.015] 3.656V | 582.1mA | 17.05/120mAh | 17.05mAh_total | Status: CHARGING
[2026-01-21 19:12:47.020] 3.656V | 582.6mA | 17.21/120mAh | 17.21mAh_total | Status: CHARGING
[2026-01-21 19:12:48.009] 3.660V | 582.3mA | 17.37/120mAh | 17.37mAh_total | Status: CHARGING
[2026-01-21 19:12:49.015] 3.664V | 582.0mA | 17.54/120mAh | 17.54mAh_total | Status: CHARGING
[2026-01-21 19:12:50.020] 3.656V | 583.0mA | 17.70/120mAh | 17.70mAh_total | Status: CHARGING
[2026-01-21 19:12:51.024] 3.668V | 582.2mA | 17.86/120mAh | 17.86mAh_total | Status: CHARGING
[2026-01-21 19:12:52.027] 3.660V | 582.5mA | 18.02/120mAh | 18.02mAh_total | Status: CHARGING
[2026-01-21 19:12:53.017] 3.656V | 582.3mA | 18.18/120mAh | 18.18mAh_total | Status: CHARGING
[2026-01-21 19:12:54.022] 3.664V | 582.5mA | 18.35/120mAh | 18.35mAh_total | Status: CHARGING
[2026-01-21 19:12:55.031] 3.668V | 582.4mA | 18.51/120mAh | 18.51mAh_total | Status: CHARGING
[2026-01-21 19:12:56.037] 3.668V | 582.2mA | 18.67/120mAh | 18.67mAh_total | Status: CHARGING
[2026-01-21 19:12:57.028] 3.672V | 582.5mA | 18.83/120mAh | 18.83mAh_total | Status: CHARGING
[2026-01-21 19:12:58.034] 3.668V | 582.5mA | 18.99/120mAh | 18.99mAh_total | Status: CHARGING
[2026-01-21 19:12:59.040] 3.672V | 582.4mA | 19.16/120mAh | 19.16mAh_total | Status: CHARGING
[2026-01-21 19:13:00.046] 3.668V | 582.0mA | 19.32/120mAh | 19.32mAh_total | Status: CHARGING
[2026-01-21 19:13:01.034] 3.672V | 582.4mA | 19.48/120mAh | 19.48mAh_total | Status: CHARGING
[2026-01-21 19:13:02.039] 3.676V | 581.7mA | 19.64/120mAh | 19.64mAh_total | Status: CHARGING
[2026-01-21 19:13:03.045] 3.668V | 581.9mA | 19.80/120mAh | 19.80mAh_total | Status: CHARGING
[2026-01-21 19:13:04.046] 3.680V | 581.8mA | 19.97/120mAh | 19.97mAh_total | Status: CHARGING
[2026-01-21 19:13:05.045] 3.676V | 582.0mA | 20.13/120mAh | 20.13mAh_total | Status: CHARGING
[2026-01-21 19:13:06.056] 3.676V | 581.5mA | 20.29/120mAh | 20.29mAh_total | Status: CHARGING
[2026-01-21 19:13:07.052] 3.676V | 582.0mA | 20.45/120mAh | 20.45mAh_total | Status: CHARGING
[2026-01-21 19:13:08.050] 3.676V | 581.8mA | 20.61/120mAh | 20.61mAh_total | Status: CHARGING
[2026-01-21 19:13:09.052] 3.676V | 581.9mA | 20.78/120mAh | 20.78mAh_total | Status: CHARGING
[2026-01-21 19:13:10.054] 3.672V | 582.0mA | 20.94/120mAh | 20.94mAh_total | Status: CHARGING
[2026-01-21 19:13:11.066] 3.684V | 581.8mA | 21.10/120mAh | 21.10mAh_total | Status: CHARGING
[2026-01-21 19:13:12.067] 3.680V | 581.7mA | 21.26/120mAh | 21.26mAh_total | Status: CHARGING
[2026-01-21 19:13:13.070] 3.684V | 581.7mA | 21.42/120mAh | 21.42mAh_total | Status: CHARGING
[2026-01-21 19:13:14.073] 3.680V | 582.2mA | 21.59/120mAh | 21.59mAh_total | Status: CHARGING
[2026-01-21 19:13:15.073] 3.684V | 581.8mA | 21.75/120mAh | 21.75mAh_total | Status: CHARGING
