time_s,voltage_V,current_A,soc_thuc,,,,,
43755.111,3.272,0,-0.006235,,,,,-1207.482
43756.113,3.272,0.1,-0.006235,,,,,-1207.482
43757.116,3.272,0,-0.006235,,,,,-1207.482
43758.106,3.272,0.1,-0.006235,,,,,-1207.482
43759.108,3.272,0.1,-0.006235,,,,,-1207.482
43760.113,3.272,0.1,-0.006235,,,,,-1207.482
43761.103,3.272,0.1,-0.006235,,,,,-1207.482
43762.108,3.272,0.1,-0.006235,,,,,-1207.482
43763.11,3.272,0.1,-0.006235,,,,,-1207.482
43764.112,3.272,0.1,-0.006235,,,,,-1207.482
43765.117,3.272,0.1,-0.006235,,,,,-1207.482
43766.118,3.272,0,-0.006235,,,,,-1207.482
43767.105,3.272,-0.1,-0.006235,,,,,-1207.482
43768.103,3.272,0.2,-0.006235,,,,,-1207.482
43769.105,3.272,0.2,-0.006235,,,,,-1207.482
43770.104,3.272,0,-0.006235,,,,,-1207.482
43771.108,3.272,-0.2,-0.006235,,,,,-1207.482
43772.112,3.272,0,-0.006235,,,,,-1207.482
43773.113,3.272,0,-0.006235,,,,,-1207.482
43774.114,3.272,0,-0.006235,,,,,-1207.482
43775.117,3.272,0.3,-0.006235,,,,,-1207.482
43776.106,3.272,-0.1,-0.006235,,,,,-1207.482
43777.11,3.272,0,-0.006235,,,,,-1207.482
43778.115,3.272,0,-0.006235,,,,,-1207.482
43779.117,3.272,-0.1,-0.006235,,,,,-1207.482
43780.117,3.272,-0.1,-0.006235,,,,,-1207.482
43781.118,3.268,-0.1,-0.006235,,,,,-1207.482
43782.107,3.268,0.3,-0.006235,,,,,-1207.482
43783.114,3.272,-0.2,-0.006235,,,,,-1207.482
43784.111,3.276,0.3,-0.006235,,,,,-1207.482
43785.115,3.272,-0.1,-0.006235,,,,,-1207.482
43786.116,3.272,-0.1,-0.006235,,,,,-1207.482
43787.103,3.268,-0.1,-0.006235,,,,,-1207.482
43788.107,3.272,-0.1,-0.006235,,,,,-1207.482
43789.111,3.276,0,-0.006235,,,,,-1207.482
43790.115,3.272,-0.2,-0.006235,,,,,-1207.482
43791.118,3.272,0.1,-0.006235,,,,,-1207.482
43792.103,3.272,0.2,-0.006235,,,,,-1207.482
43793.105,3.272,0,-0.006235,,,,,-1207.482
43794.108,3.272,-0.1,-0.006235,,,,,-1207.482
43795.11,3.272,0,-0.006235,,,,,-1207.482
43796.11,3.272,0,-0.006235,,,,,-1207.482
43797.112,3.272,-0.1,-0.006235,,,,,-1207.482
43798.116,3.272,0,-0.006235,,,,,-1207.482
43799.116,3.272,0.4,-0.006235,,,,,-1207.482
43800.105,3.272,0.1,-0.006235,,,,,-1207.482
43801.112,3.272,0.1,-0.006235,,,,,-1207.482
43802.11,3.272,-0.1,-0.006235,,,,,-1207.482
43803.111,3.276,0,-0.006235,,,,,-1207.482
43804.107,3.276,0.1,-0.006235,,,,,-1207.482
43805.104,3.272,0.1,-0.006235,,,,,-1207.482
43806.103,3.268,-0.1,-0.006235,,,,,-1207.482
43807.108,3.276,0.3,-0.006235,,,,,-1207.482
43808.114,3.272,0,-0.006235,,,,,-1207.482
43809.103,3.276,0.3,-0.006235,,,,,-1207.482
43810.108,3.272,-0.2,-0.006235,,,,,-1207.482
43811.109,3.272,0,-0.006235,,,,,-1207.482
43812.115,3.272,0,-0.006235,,,,,-1207.482
43813.106,3.272,0,-0.006235,,,,,-1207.482
43814.112,3.272,0,-0.006235,,,,,-1207.482
43815.115,3.272,0,-0.006235,,,,,-1207.482
43816.104,3.272,0,-0.006235,,,,,-1207.482
